"OLST_attempt_id","RADAR_capture","MOCAP_Start_Time","MOCAP_End_Time","RADAR_Start_Frame","RADAR_End_Frame","Seconds_per_Frame","an","is_attempt_final","t_foot_up","t_stable","t_break","t_end","frame_foot_up","frame_stable","frame_break","frame_end","participant_id","label","movement_code","stance_leg","lifted_leg","stance_knee_vel_mean","stance_knee_vel_std","stance_knee_vel_max","lifted_knee_vel_mean","lifted_knee_vel_std","lifted_knee_vel_max","stance_knee_acc_mean","stance_knee_acc_std","stance_knee_acc_max","lifted_knee_acc_mean","lifted_knee_acc_std","lifted_knee_acc_max","com_disp_mean","com_disp_std","com_disp_max","com_range_x","com_range_y","com_vel_mean","com_vel_std","trunk_sway_x_std","trunk_sway_y_std","trunk_sway_x_range","trunk_sway_y_range","trunk_sway_vel_mean","trunk_sway_vel_std","doppler_centroid_mean","doppler_centroid_std","doppler_centroid_max","doppler_centroid_range","micro_vel_mean","micro_vel_std","micro_vel_max","micro_vel_energy","micro_acc_mean","micro_acc_std","micro_acc_max","amp_total_power_mean","amp_total_power_std","amp_total_power_range","amp_peak_power_mean","amp_peak_power_std","amp_variation_mean","amp_variation_std","amp_variation_max","COP_AP_range_mm","COP_AP_mean_mm","COP_AP_sd_mm","COP_ML_range_mm","COP_ML_mean_mm","COP_ML_sd_mm","COP_speed_mean_mm_s","COP_speed_sd_mm_s","COP_speed_max_mm_s","COP_speed_computed_mean","GRF_Z_mean_N","GRF_Z_sd_N","GRF_Z_cv_pct","GRF_Z_range_N","sway_path_length_mm","sway_path_per_second_mm_s","trial_duration_s"
"01_MNTRL_RR_V1_an1","01_MNTRL_RR_V1","8.47","30.2","226","821","0.0365","1","False","10.22","11.19","14.28","15.05","273","300","385","406","1","STABLE","MNTRL","L","R","0.265653","0.168876","1.04017","0.743705","0.814087","4.07922","0.145319","0.126338","0.81007","0.161764","0.137574","0.858672","8.86643","2.97125","13.537","18.4183","18.7059","0.219132","0.163049","4.45507","7.49902","14.5887","23.2713","0.192089","0.10792","-0.00576239","0.129509","0.348095","0.622754","0.000674627","0.000448728","0.0021756","0.000000656479","0.0162784","0.0119984","0.0472685","96434.9","4482.32","20241.6","96.7762","3.54586","3461.28","3395.81","18159.3","39.1006","56.0218","7.63983","30.8088","89.4533","9.0036","489.247","268.991","1953.93","489.255","565.499","10.7127","1.89438","69.2759","1511.69","489.221","3.09"
"01_MNTRL_RR_V1_an2","01_MNTRL_RR_V1","8.47","30.2","226","821","0.0365","2","False","18.25","19.05","22.18","22.83","493","515","601","619","1","STABLE","MNTRL","L","R","0.256186","0.212794","1.4051","0.848065","0.721073","3.72671","0.162645","0.199643","1.59824","0.169773","0.129746","1.00937","7.05505","2.93121","12.3018","19.1968","12.5117","0.182883","0.163157","7.85384","4.1841","21.146","18.9447","0.19805","0.129916","-0.166386","0.0829439","0.380692","0.423266","0.00104603","0.000505943","0.00237932","0.00000135016","0.0168685","0.0117013","0.0587786","89549","2764.65","13658.6","93.3523","4.245","2215.54","1588.47","8330.52","37.0946","44.7627","8.45616","29.2881","96.719","7.39186","484.862","260.496","1742.25","484.897","565.468","9.40551","1.66331","65.0034","1517.54","484.837","3.13"
"01_MNTRL_RR_V1_an3","01_MNTRL_RR_V1","8.47","30.2","226","821","0.0365","3","True","26.24","27.03",NULL,"30.2","712","734",NULL,"821","1","STABLE","MNTRL","L","R","0.176079","0.105492","0.590605","0.674461","0.839178","3.448","0.101381","0.0592321","0.418141","0.137755","0.121919","0.708708","5.73573","3.58332","15.7826","19.1374","5.97928","0.164565","0.11754","5.30307","2.86852","16.1063","11.0597","0.132997","0.0814842","-0.178159","0.0923946","0.44613","0.477221","0.00111862","0.000567476","0.00278831","0.00000157334","0.0169954","0.0149205","0.0817158","89571.4","3570.53","14544.7","94.0537","5.08994","2348.15","1983.89","9886.83","21.4853","53.2417","4.60018","17.2641","97.4492","4.06056","497.947","267.54","1931.21","497.869","566.61","6.47195","1.14222","42.1143","1578.14","497.836","3.17"
"01_MNTRL_RR_V2_an1","01_MNTRL_RR_V2","8.52","30.2","225","816","0.03664","1","False","10.48","11.05","14.27","15.05","278","294","382","403","1","STABLE","MNTRL","L","R","0.252568","0.15369","0.830591","0.806258","1.08367","5.91475","0.0942612","0.0485762","0.287402","0.163912","0.14712","0.912744","5.96172","3.24229","22.4663","9.62733","23.6106","0.228166","0.209282","5.36144","3.56767","25.9593","20.1797","0.182701","0.157648","-0.0129037","0.172646","0.405823","0.778655","0.000889643","0.000615922","0.00253639","0.00000117082","0.0177809","0.0127092","0.0570963","96645.2","4304.84","20379.4","96.1337","3.64214","3445.38","3138.83","16647.8","30.1257","-6.66855","6.89454","25.5626","37.5469","5.71961","480.744","269.706","1736.93","480.821","564.254","12.6024","2.23346","93.996","1548.19","480.804","3.22"
"01_MNTRL_RR_V2_an2","01_MNTRL_RR_V2","8.52","30.2","225","816","0.03664","2","False","18.41","19.07","22.17","22.86","495","513","597","616","1","STABLE","MNTRL","L","R","0.173592","0.0916576","0.498804","0.599968","0.834784","4.04179","0.103297","0.055749","0.30422","0.133007","0.130517","0.737783","4.98288","1.55466","9.82869","13.2585","7.85456","0.139556","0.0912306","5.69558","1.64849","17.1177","7.30767","0.14133","0.06623","-0.199739","0.0944165","0.496585","0.518683","0.00125551","0.000574767","0.00310366","0.00000190665","0.017655","0.013914","0.0688914","90091.9","3044.92","14831.1","95.1372","4.05649","1924.04","1434.26","6434.35","27.7294","0.71041","7.26042","15.946","44.443","3.59112","479.844","261.257","1750.01","479.935","565.149","6.92421","1.2252","43.9453","1487.73","479.914","3.1"
"01_MNTRL_RR_V2_an3","01_MNTRL_RR_V2","8.52","30.2","225","816","0.03664","3","True","26.46","27.06",NULL,"30.2","714","731",NULL,"816","1","STABLE","MNTRL","L","R","0.268117","0.194309","1.02176","0.800825","1.05966","4.92183","0.142107","0.155788","1.41296","0.14224","0.123137","0.696917","8.5435","2.87623","17.5763","20.8484","18.3668","0.195355","0.168945","10.0638","3.2101","32.1793","19.0883","0.227467","0.176802","-0.190194","0.0909085","0.40208","0.438111","0.00119512","0.000554574","0.002513","0.00000173587","0.0180701","0.0143984","0.0614257","90729.7","3408.51","17752.7","94.9709","5.61914","2322.92","1679.27","6883.2","35.4576","-3.71819","10.8905","23.9274","51.2679","4.89691","477.114","256.834","1594.19","477.23","565.373","9.74064","1.72287","67.1396","1498.39","477.195","3.14"
"01_MNTRL_RR_V3_an1","01_MNTRL_RR_V3","7.62","30.5","200","826","0.03651","1","False","10.66","11.19","14.41","15.16","283","297","385","406","1","STABLE","MNTRL","L","R","0.27128","0.163658","1.27953","0.712344","0.734147","3.89393","0.113401","0.0831337","0.711028","0.147295","0.128961","0.732883","10.2419","4.19996","17.6431","23.3613","21.5461","0.262348","0.198988","7.42964","5.15731","24.064","19.302","0.257069","0.167629","-0.0150997","0.193367","0.472924","0.772889","0.00102291","0.000650503","0.00295578","0.00000146949","0.0155594","0.0108929","0.0484635","95583.2","5591.73","20976.3","95.1688","4.66606","2655.79","2338.69","12154.5","46.3186","-4.71832","12.6409","36.573","28.0743","9.35703","471.534","255.777","1761.76","471.6","564.703","7.70759","1.36489","40.8936","1518.5","471.584","3.22"
"01_MNTRL_RR_V3_an2","01_MNTRL_RR_V3","7.62","30.5","200","826","0.03651","2","False","18.25","18.9","22.09","22.83","491","508","596","616","1","STABLE","MNTRL","L","R","0.240057","0.131056","0.966233","0.584705","0.744285","4.02312","0.119632","0.124307","0.817574","0.120761","0.107767","0.753194","9.7535","3.09092","13.2597","13.8513","25.5506","0.25528","0.164247","5.39052","7.76573","19.2597","22.0577","0.239527","0.118462","-0.162904","0.120249","0.409516","0.524379","0.00109068","0.000641786","0.00255947","0.00000160146","0.0213266","0.0160205","0.0657857","91526.9","3889.08","22569.3","95.577","3.68949","2461.62","1937.6","8190.58","36.1912","3.05308","8.76414","34.3325","33.5386","10.3841","481.865","266.816","1792.36","481.864","564.927","7.81557","1.38346","54.3222","1537.08","481.842","3.19"
"01_MNTRL_RR_V3_an3","01_MNTRL_RR_V3","7.62","30.5","200","826","0.03651","3","True","26.35","27.12",NULL,"30.5","713","734",NULL,"826","1","STABLE","MNTRL","L","R","0.238502","0.177027","1.05992","0.650846","0.878445","4.34644","0.145349","0.185225","1.37701","0.119507","0.105002","0.658791","7.29654","4.55709","17.2458","17.2336","29.3807","0.18045","0.0990249","6.34745","5.65867","20.9433","24.998","0.151195","0.0710891","-0.154847","0.117137","0.374242","0.575862","0.00104711","0.000613315","0.00233901","0.0000014726","0.0174833","0.01209","0.0554826","91188","4259.5","24230.8","93.9378","4.67228","2577.66","2388.7","11432.2","28.3513","-11.89","8.04979","26.3046","37.6052","6.93359","470.357","258.134","1571.79","470.462","565.34","6.90758","1.22184","49.7437","1590.03","470.422","3.38"
"01_MNTRR_RR_V1_an1","01_MNTRR_RR_V1","7.61","30.23","202","823","0.03638","1","False","10.07","10.97","14.09","14.99","269","294","380","404","1","STABLE","MNTRR","R","L","0.217282","0.140098","0.683106","0.713805","0.846941","4.6411","0.0910674","0.0465029","0.272619","0.167879","0.154563","0.907228","8.92856","3.75525","14.5725","13.2747","25.6227","0.213614","0.134145","1.38487","7.9283","6.34067","25.59","0.17452","0.0946313","0.0302729","0.174091","0.461268","0.803875","0.000869543","0.000680876","0.00288293","0.0000012197","0.0183715","0.0131113","0.0596622","98646.5","5509.04","33712.5","100.48","5.72333","2997.93","3846.01","28611.8","25.6103","48.0525","5.85296","34.244","-65.5921","9.30566","473.163","259.369","1622.21","473.164","571.02","5.02583","0.88015","28.3813","1476.38","473.199","3.12"
